Brand,Laptop_Type,Launch_Year,CPU_Brand,CPU_Model,CPU_Cores,GPU_Type,GPU_VRAM,GPU_Model,Screen_Size,Resolution,Refresh_Rate,RAM,Storage,Storage_Type,Weight,OS,Price
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 8-Core GPU,13,2560x1664,60,16,512,SSD,1.23,macOS,119900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,16,512,SSD,1.23,macOS,129900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,16,1024,SSD,1.23,macOS,139900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,16,2048,SSD,1.23,macOS,179900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,24,512,SSD,1.23,macOS,139900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,24,1024,SSD,1.23,macOS,159900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,24,2048,SSD,1.23,macOS,199900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,24,4096,SSD,1.23,macOS,259900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,32,1024,SSD,1.23,macOS,179900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,32,2048,SSD,1.23,macOS,219900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,13,2560x1664,60,32,4096,SSD,1.23,macOS,279900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,16,1024,SSD,1.51,macOS,164900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,16,2048,SSD,1.51,macOS,204900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,24,512,SSD,1.51,macOS,164900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,24,1024,SSD,1.51,macOS,184900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,24,2048,SSD,1.51,macOS,224900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,24,4096,SSD,1.51,macOS,284900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,32,1024,SSD,1.51,macOS,204900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,32,2048,SSD,1.51,macOS,244900
Apple,Ultrabook,2026,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,15,2880x1864,60,32,4096,SSD,1.51,macOS,304900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,16,1024,SSD,1.55,macOS,189900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,16,2048,SSD,1.55,macOS,229900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,24,1024,SSD,1.55,macOS,209900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,24,2048,SSD,1.55,macOS,249900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,24,4096,SSD,1.55,macOS,309900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,32,1024,SSD,1.55,macOS,229900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,32,2048,SSD,1.55,macOS,269900
Apple,Creator,2025,Apple,M5,10,Integrated,Shared,M5 10-Core GPU,14,3024x1964,120,32,4096,SSD,1.55,macOS,329900
Apple,Workstation,2026,Apple,M5 Pro,15,Integrated,Shared,M5 Pro 16-Core GPU,14,3024x1964,120,24,1024,SSD,1.6,macOS,249900
Apple,Workstation,2026,Apple,M5 Pro,15,Integrated,Shared,M5 Pro 16-Core GPU,14,3024x1964,120,24,2048,SSD,1.6,macOS,289900
Apple,Workstation,2026,Apple,M5 Pro,15,Integrated,Shared,M5 Pro 16-Core GPU,14,3024x1964,120,24,4096,SSD,1.6,macOS,349900
Apple,Workstation,2026,Apple,M5 Pro,15,Integrated,Shared,M5 Pro 16-Core GPU,14,3024x1964,120,48,2048,SSD,1.6,macOS,329900
Apple,Workstation,2026,Apple,M5 Pro,15,Integrated,Shared,M5 Pro 16-Core GPU,14,3024x1964,120,48,4096,SSD,1.6,macOS,389900
Apple,Workstation,2026,Apple,M5 Pro,18,Integrated,Shared,M5 Pro 20-Core GPU,14,3024x1964,120,24,1024,SSD,1.6,macOS,269900
Apple,Workstation,2026,Apple,M5 Pro,18,Integrated,Shared,M5 Pro 20-Core GPU,14,3024x1964,120,24,2048,SSD,1.6,macOS,309900
Apple,Workstation,2026,Apple,M5 Pro,18,Integrated,Shared,M5 Pro 20-Core GPU,14,3024x1964,120,24,4096,SSD,1.6,macOS,369900
Apple,Workstation,2026,Apple,M5 Pro,18,Integrated,Shared,M5 Pro 20-Core GPU,14,3024x1964,120,48,2048,SSD,1.6,macOS,349900
